series_name,tau,m,fnn_fraction,fnn_percent,n_used,false_neighbors,theiler_window,rtol,atol
logistic_clean,9,1,0.983333333333,98.3333333333,1200,1180,9,10,2
logistic_clean,9,2,0.754166666667,75.4166666667,1200,905,9,10,2
logistic_clean,9,3,0.346666666667,34.6666666667,1200,416,9,10,2
logistic_clean,9,4,0.231666666667,23.1666666667,1200,278,9,10,2
logistic_clean,9,5,0.211666666667,21.1666666667,1200,254,9,10,2
logistic_clean,9,6,0.214166666667,21.4166666667,1200,257,9,10,2
logistic_clean,9,7,0.2675,26.75,1200,321,9,10,2
logistic_clean,9,8,0.306666666667,30.6666666667,1200,368,9,10,2
logistic_clean,9,9,0.371666666667,37.1666666667,1200,446,9,10,2
logistic_clean,9,10,0.4875,48.75,1200,585,9,10,2
logistic_noise_small,9,1,0.985,98.5,1200,1182,9,10,2
logistic_noise_small,9,2,0.75,75,1200,900,9,10,2
logistic_noise_small,9,3,0.34,34,1200,408,9,10,2
logistic_noise_small,9,4,0.235833333333,23.5833333333,1200,283,9,10,2
logistic_noise_small,9,5,0.2175,21.75,1200,261,9,10,2
logistic_noise_small,9,6,0.215833333333,21.5833333333,1200,259,9,10,2
logistic_noise_small,9,7,0.266666666667,26.6666666667,1200,320,9,10,2
logistic_noise_small,9,8,0.300833333333,30.0833333333,1200,361,9,10,2
logistic_noise_small,9,9,0.370833333333,37.0833333333,1200,445,9,10,2
logistic_noise_small,9,10,0.489166666667,48.9166666667,1200,587,9,10,2
logistic_noise_moderate,5,1,0.981666666667,98.1666666667,1200,1178,5,10,2
logistic_noise_moderate,5,2,0.779166666667,77.9166666667,1200,935,5,10,2
logistic_noise_moderate,5,3,0.3975,39.75,1200,477,5,10,2
logistic_noise_moderate,5,4,0.250833333333,25.0833333333,1200,301,5,10,2
logistic_noise_moderate,5,5,0.2,20,1200,240,5,10,2
logistic_noise_moderate,5,6,0.236666666667,23.6666666667,1200,284,5,10,2
logistic_noise_moderate,5,7,0.264166666667,26.4166666667,1200,317,5,10,2
logistic_noise_moderate,5,8,0.321666666667,32.1666666667,1200,386,5,10,2
logistic_noise_moderate,5,9,0.365833333333,36.5833333333,1200,439,5,10,2
logistic_noise_moderate,5,10,0.515833333333,51.5833333333,1200,619,5,10,2
