p,nobs_train,innovation_variance,aic,bic
1,157248,0.0368652601104,-518990.764631,-518970.833472
2,157248,0.0366721721511,-519814.54177,-519784.645031
3,157248,0.0365621974549,-520284.814942,-520244.952624
4,157248,0.036513790976,-520491.141186,-520441.313289
5,157248,0.0364869707759,-520604.685816,-520544.89234
6,157248,0.036461085069,-520714.285112,-520644.526055
7,157248,0.0364447788871,-520782.625531,-520702.900896
8,157248,0.0364328946671,-520831.910644,-520742.220429
9,157248,0.0364255600946,-520861.570576,-520761.914781
10,157248,0.0364155667242,-520902.717561,-520793.096187
11,157248,0.0364115078072,-520918.245564,-520798.65861
12,157248,0.0364086228611,-520928.705086,-520799.152553
13,157248,0.031410473305,-544146.614065,-544007.095953
14,157248,0.031398121289,-544206.463239,-544056.979547
15,157248,0.0313886018513,-544252.145694,-544092.696423
16,157248,0.0313839086189,-544273.659216,-544104.244366
17,157248,0.0313764864684,-544308.852046,-544129.471616
18,157248,0.0313722872037,-544327.898703,-544138.552693
19,157248,0.0313700990145,-544336.866994,-544137.555405
20,157248,0.0313689529127,-544340.612131,-544131.334963
21,157248,0.0313667975227,-544349.417159,-544130.174411
22,157248,0.0313667392515,-544347.709284,-544118.500957
23,157248,0.0313641763064,-544358.558387,-544119.38448
24,157248,0.0313637337051,-544358.777437,-544109.63795
25,157248,0.0304483589028,-549014.486781,-548755.381715
26,157248,0.0304474911026,-549016.968527,-548747.897881
27,157248,0.0304474016294,-549015.430617,-548736.394392
28,157248,0.0304463710589,-549018.75317,-548729.751365
29,157248,0.0304452098694,-549022.750542,-548723.783158
30,157248,0.0304452012044,-549020.795296,-548711.862333
31,157248,0.0304452011815,-549018.795414,-548699.896871
32,157248,0.030445125017,-549017.1888,-548688.324678
33,157248,0.0304450657255,-549015.495039,-548676.665338
34,157248,0.0304449436752,-549014.125427,-548665.330146
35,157248,0.0304443414907,-549015.235738,-548656.474878
36,157248,0.0304443308705,-549013.290592,-548644.564153
37,157248,0.0302330834364,-550106.207741,-549727.515722
38,157248,0.0302328182478,-550105.587043,-549716.929445
39,157248,0.0302327893381,-550103.73741,-549705.114232
40,157248,0.0302321047711,-550105.298047,-549696.70929
41,157248,0.0302314618096,-550106.642356,-549688.088019
42,157248,0.0302314239247,-550104.839413,-549676.319496
43,157248,0.0302314238696,-550102.8397,-549664.354204
44,157248,0.0302309473827,-550103.318154,-549654.867079
45,157248,0.030230926354,-550101.427536,-549643.010881
46,157248,0.0302308825937,-550099.655158,-549631.272923
47,157248,0.030230799828,-550098.08567,-549619.737856
48,157248,0.0302307902522,-550096.13548,-549607.822086
49,157248,0.0301907081865,-550302.764056,-549804.485083
50,157248,0.0301894595201,-550307.267856,-549799.023304
51,157248,0.0301887311784,-550309.061619,-549790.851488
52,157248,0.0301883883173,-550308.847535,-549780.671824
53,157248,0.0301883144764,-550307.232165,-549769.090874
54,157248,0.0301872331653,-550310.86471,-549762.75784
55,157248,0.0301861100717,-550314.715114,-549756.642665
56,157248,0.0301854991404,-550315.89766,-549747.859631
57,157248,0.0301853683693,-550314.5789,-549736.575291
58,157248,0.0301850288062,-550314.347834,-549726.378646
59,157248,0.0301843935258,-550315.657342,-549717.722575
60,157248,0.0301842044716,-550314.642238,-549706.741891
61,157248,0.0301722805402,-550374.77357,-549756.907644
62,157248,0.0301719628684,-550374.42918,-549746.597674
63,157248,0.0301709138606,-550377.896415,-549740.09933
64,157248,0.0301705817015,-550377.627608,-549729.864943
65,157248,0.030169507046,-550381.228773,-549723.500529
66,157248,0.030169315657,-550380.226325,-549712.532502
67,157248,0.0301689269311,-550380.252449,-549702.593046
68,157248,0.0301689176521,-550378.300813,-549690.675831
69,157248,0.030168894867,-550376.419575,-549678.829013
70,157248,0.0301688845673,-550374.47326,-549666.917118
71,157248,0.0301683562963,-550375.226768,-549657.705048
72,157248,0.0301680183121,-550374.98847,-549647.501169
73,157248,0.0301649863386,-550388.793145,-549651.340265
74,157248,0.03016483431,-550387.585661,-549640.167202
75,157248,0.030164800929,-550385.759675,-549628.375636
76,157248,0.0301644172714,-550385.759681,-549618.410063
77,157248,0.0301643796347,-550383.955882,-549606.640685
78,157248,0.0301638162694,-550384.892753,-549597.611976
79,157248,0.0301637202411,-550383.393363,-549586.147006
80,157248,0.0301633154243,-550383.503747,-549576.291812
81,157248,0.030162988294,-550383.209159,-549566.031644
82,157248,0.0301629193616,-550381.568523,-549554.425428
83,157248,0.0301628285619,-550380.041889,-549542.933214
84,157248,0.0301627967462,-550378.207754,-549531.1335
85,157248,0.0301625837078,-550377.318393,-549520.27856
86,157248,0.030161909671,-550378.832419,-549511.827007
87,157248,0.030161876615,-550377.004756,-549500.033763
88,157248,0.0301617316065,-550375.760755,-549488.824183
89,157248,0.030161356745,-550375.715105,-549478.812954
90,157248,0.030161200543,-550374.529476,-549467.661745
91,157248,0.0301609546169,-550373.811637,-549456.978327
92,157248,0.0301604648253,-550374.36525,-549447.56636
93,157248,0.0301601457838,-550374.028649,-549437.26418
94,157248,0.0301599637975,-550372.977486,-549426.247438
95,157248,0.0301592876838,-550374.502647,-549417.807019
96,157248,0.030158971907,-550374.149089,-549407.487882
97,157248,0.0301584066189,-550375.096512,-549398.469726
98,157248,0.0301583322135,-550373.484468,-549386.892102
99,157248,0.0301583315557,-550371.487898,-549374.929952
100,157248,0.0301575790843,-550373.411394,-549366.887869
