p,nobs_train,innovation_variance,aic,bic
49,157248,0.0301907081865,-550302.764056,-549804.485083
50,157248,0.0301894595201,-550307.267856,-549799.023304
51,157248,0.0301887311784,-550309.061619,-549790.851488
52,157248,0.0301883883173,-550308.847535,-549780.671824
53,157248,0.0301883144764,-550307.232165,-549769.090874
54,157248,0.0301872331653,-550310.86471,-549762.75784
61,157248,0.0301722805402,-550374.77357,-549756.907644
55,157248,0.0301861100717,-550314.715114,-549756.642665
56,157248,0.0301854991404,-550315.89766,-549747.859631
62,157248,0.0301719628684,-550374.42918,-549746.597674
