series,window,start_time,end_time,n_window,embedding_dim_m,epsilon_multiplier,epsilon,bds_statistic,p_value,reject_5pct,decision_5pct,correlation_sum_1,correlation_sum_m,variance
z_log_rv_past_12,middle,2025-02-24 16:55:00,2025-03-07 02:50:00,3000,2,0.5,0.5,435.487780747,0,True,rechaza H0,0.275980666667,0.22688712176,0.000359233330135
z_log_rv_past_12,middle,2025-02-24 16:55:00,2025-03-07 02:50:00,3000,2,1,1,219.716838464,0,True,rechaza H0,0.518177111111,0.476433235887,0.00268575380962
z_log_rv_past_12,middle,2025-02-24 16:55:00,2025-03-07 02:50:00,3000,2,1.5,1.5,160.010271085,0,True,rechaza H0,0.708275111111,0.677468570439,0.00362069785419
z_log_rv_past_12,middle,2025-02-24 16:55:00,2025-03-07 02:50:00,3000,3,0.5,0.5,779.509172113,0,True,rechaza H0,0.275980666667,0.189595821275,0.000140209978543
z_log_rv_past_12,middle,2025-02-24 16:55:00,2025-03-07 02:50:00,3000,3,1,1,274.254601694,0,True,rechaza H0,0.518177111111,0.442793082869,0.00367531905371
z_log_rv_past_12,middle,2025-02-24 16:55:00,2025-03-07 02:50:00,3000,3,1.5,1.5,169.38698582,0,True,rechaza H0,0.708275111111,0.651885112646,0.00919061390401
z_log_rv_past_12,middle,2025-02-24 16:55:00,2025-03-07 02:50:00,3000,4,0.5,0.5,1513.26592,0,True,rechaza H0,0.275980666667,0.15911818837,3.07635919088e-05
z_log_rv_past_12,middle,2025-02-24 16:55:00,2025-03-07 02:50:00,3000,4,1,1,351.359684477,0,True,rechaza H0,0.518177111111,0.413211454141,0.00282478205063
z_log_rv_past_12,middle,2025-02-24 16:55:00,2025-03-07 02:50:00,3000,4,1.5,1.5,180.498819182,0,True,rechaza H0,0.708275111111,0.628846508615,0.0130875597729
z_log_rv_past_12,recent,2026-04-20 10:00:00,2026-04-30 19:55:00,3000,2,0.5,0.5,314.506927291,0,True,rechaza H0,0.279671555556,0.224498640816,0.00064878463455
z_log_rv_past_12,recent,2026-04-20 10:00:00,2026-04-30 19:55:00,3000,2,1,1,182.769939362,0,True,rechaza H0,0.521301333333,0.474414334621,0.0036872264598
z_log_rv_past_12,recent,2026-04-20 10:00:00,2026-04-30 19:55:00,3000,2,1.5,1.5,145.548968438,0,True,rechaza H0,0.708263333333,0.673160587818,0.00416491520164
z_log_rv_past_12,recent,2026-04-20 10:00:00,2026-04-30 19:55:00,3000,3,0.5,0.5,544.650666073,0,True,rechaza H0,0.279671555556,0.182881761067,0.00026198995368
z_log_rv_past_12,recent,2026-04-20 10:00:00,2026-04-30 19:55:00,3000,3,1,1,225.113460935,0,True,rechaza H0,0.521301333333,0.435910575919,0.00512206148225
z_log_rv_past_12,recent,2026-04-20 10:00:00,2026-04-30 19:55:00,3000,3,1.5,1.5,153.528134165,0,True,rechaza H0,0.708263333333,0.643714666794,0.010580770585
z_log_rv_past_12,recent,2026-04-20 10:00:00,2026-04-30 19:55:00,3000,4,0.5,0.5,1016.04366317,0,True,rechaza H0,0.279671555556,0.149340420389,5.95504994525e-05
z_log_rv_past_12,recent,2026-04-20 10:00:00,2026-04-30 19:55:00,3000,4,1,1,283.880136428,0,True,rechaza H0,0.521301333333,0.401737629076,0.00399820090867
z_log_rv_past_12,recent,2026-04-20 10:00:00,2026-04-30 19:55:00,3000,4,1.5,1.5,162.857417811,0,True,rechaza H0,0.708263333333,0.616972327683,0.0150816460426
