tau,mutual_information,n_pairs
1,0.00317412604157,157247
2,0.0031387015801,157246
3,0.00313080007776,157245
4,0.00326170175317,157244
5,0.00324818022023,157243
6,0.00320967260797,157242
7,0.00319639750037,157241
8,0.00293960997324,157240
9,0.00290205411185,157239
10,0.00307011723649,157238
11,0.00297455639078,157237
12,0.0031282204897,157236
13,0.00297045466354,157235
14,0.00305872307853,157234
15,0.0029617593023,157233
16,0.00310751737851,157232
17,0.00301230011832,157231
18,0.00308927215017,157230
19,0.00306040685822,157229
20,0.00305489872488,157228
21,0.00311502308125,157227
22,0.00287674365073,157226
23,0.00310107225242,157225
24,0.00311704822961,157224
25,0.00308072227691,157223
26,0.00309510470161,157222
27,0.00276849304342,157221
28,0.00318046991636,157220
29,0.00299799418018,157219
30,0.00301783218746,157218
31,0.00336413819428,157217
32,0.00307460343779,157216
33,0.00313860883488,157215
34,0.00306248912401,157214
35,0.00299967501364,157213
36,0.00304939116604,157212
37,0.0032202310357,157211
38,0.00294274328691,157210
39,0.00308185041764,157209
40,0.00291946135457,157208
41,0.00310011707778,157207
42,0.00314882137552,157206
43,0.00291274442408,157205
44,0.00324613308967,157204
45,0.00299736893505,157203
46,0.0030056088455,157202
47,0.00316777158664,157201
48,0.00317566243666,157200
49,0.00312595129763,157199
50,0.00285544267832,157198
51,0.003135611818,157197
52,0.00321299457808,157196
53,0.00306694263058,157195
54,0.00316573427315,157194
55,0.00285396725398,157193
56,0.00280679670034,157192
57,0.00268861731484,157191
58,0.00303179481371,157190
59,0.00281035069675,157189
60,0.00321538924029,157188
61,0.00303577739009,157187
62,0.0030994514184,157186
63,0.00324952203253,157185
64,0.00311921199397,157184
65,0.00323014100811,157183
66,0.00291131256722,157182
67,0.00300214131002,157181
68,0.00277757877298,157180
69,0.00304035823168,157179
70,0.00324380160442,157178
71,0.00284331116368,157177
72,0.00290419400828,157176
73,0.00295440940546,157175
74,0.00318085777034,157174
75,0.00305032199368,157173
76,0.00318500135047,157172
77,0.00329860637605,157171
