m,fnn_fraction,fnn_percent,n_used,false_neighbors,theiler_window,rtol,atol
1,0.991333333333,99.1333333333,3000,2974,137,10,2
2,0.748666666667,74.8666666667,3000,2246,137,10,2
3,0.313333333333,31.3333333333,3000,940,137,10,2
4,0.13,13,3000,390,137,10,2
5,0.128,12.8,3000,384,137,10,2
6,0.128666666667,12.8666666667,3000,386,137,10,2
7,0.153666666667,15.3666666667,3000,461,137,10,2
8,0.202666666667,20.2666666667,3000,608,137,10,2
9,0.233333333333,23.3333333333,3000,700,137,10,2
10,0.302,30.2,3000,906,137,10,2
11,0.406,40.6,3000,1218,137,10,2
12,0.542333333333,54.2333333333,3000,1627,137,10,2
13,0.641666666667,64.1666666667,3000,1925,137,10,2
14,0.754,75.4,3000,2262,137,10,2
15,0.862666666667,86.2666666667,3000,2588,137,10,2
