series,k,time_minutes,mean_log_distance,n_pairs,theiler_window
original,0,0,-0.350980781908,2940,685
original,1,5,-0.047411370286,2940,685
original,2,10,0.116624280421,2940,685
original,3,15,0.225360764596,2940,685
original,4,20,0.311842985628,2940,685
original,5,25,0.380799582648,2940,685
original,6,30,0.450011136111,2940,685
original,7,35,0.487525884919,2940,685
original,8,40,0.544007313457,2940,685
original,9,45,0.574260743982,2940,685
original,10,50,0.611152233222,2940,685
original,11,55,0.640259605868,2940,685
original,12,60,0.674416846152,2940,685
original,13,65,0.669417876677,2940,685
original,14,70,0.666119724203,2940,685
original,15,75,0.667948776178,2940,685
original,16,80,0.673416908855,2940,685
original,17,85,0.690810095615,2940,685
original,18,90,0.703351457936,2940,685
original,19,95,0.718244375382,2940,685
original,20,100,0.721273618233,2940,685
original,21,105,0.73276284105,2940,685
original,22,110,0.744901957084,2940,685
original,23,115,0.752428433676,2940,685
original,24,120,0.764267000882,2940,685
original,25,125,0.775996587451,2940,685
original,26,130,0.78663228852,2940,685
original,27,135,0.793294257409,2940,685
original,28,140,0.797994401805,2940,685
original,29,145,0.793181610484,2940,685
original,30,150,0.797480672576,2940,685
original,31,155,0.800428761628,2940,685
original,32,160,0.797528411555,2940,685
original,33,165,0.802168947458,2940,685
original,34,170,0.806249187662,2940,685
original,35,175,0.810516413459,2940,685
original,36,180,0.814981777181,2940,685
original,37,185,0.812567158565,2940,685
original,38,190,0.815001743468,2940,685
original,39,195,0.816328952109,2940,685
original,40,200,0.818307797625,2940,685
original,41,205,0.826105142716,2940,685
original,42,210,0.828873678863,2940,685
original,43,215,0.829854947994,2940,685
original,44,220,0.830894367715,2940,685
original,45,225,0.83788489855,2940,685
original,46,230,0.833740467915,2940,685
original,47,235,0.825550107273,2940,685
original,48,240,0.833421867128,2940,685
original,49,245,0.839823275555,2940,685
original,50,250,0.838688929591,2940,685
original,51,255,0.841788591033,2940,685
original,52,260,0.843694068393,2940,685
original,53,265,0.842950756248,2940,685
original,54,270,0.838819436321,2940,685
original,55,275,0.838996543946,2940,685
original,56,280,0.838525612056,2940,685
original,57,285,0.837829615388,2940,685
original,58,290,0.830105724981,2940,685
original,59,295,0.825185009603,2940,685
original,60,300,0.817469577196,2940,685
shuffled,0,0,-0.52747486298,2940,685
shuffled,1,5,1.05506710431,2940,685
shuffled,2,10,1.06629586217,2940,685
shuffled,3,15,1.05681114856,2940,685
shuffled,4,20,1.04290694744,2940,685
shuffled,5,25,1.05128888301,2940,685
shuffled,6,30,1.06023606459,2940,685
shuffled,7,35,1.04332861536,2940,685
shuffled,8,40,1.05725754248,2940,685
shuffled,9,45,1.05633565172,2940,685
shuffled,10,50,1.05245818545,2940,685
shuffled,11,55,1.06376262305,2940,685
shuffled,12,60,1.05528370588,2940,685
shuffled,13,65,1.06404052009,2940,685
shuffled,14,70,1.0579829133,2940,685
shuffled,15,75,1.05853185847,2940,685
shuffled,16,80,1.05149717977,2940,685
shuffled,17,85,1.04622319377,2940,685
shuffled,18,90,1.06096452236,2940,685
shuffled,19,95,1.06580299443,2940,685
shuffled,20,100,1.0350982603,2940,685
shuffled,21,105,1.04240922816,2940,685
shuffled,22,110,1.06608269986,2940,685
shuffled,23,115,1.05387551456,2940,685
shuffled,24,120,1.05706720475,2940,685
shuffled,25,125,1.06432325255,2940,685
shuffled,26,130,1.06000503926,2940,685
shuffled,27,135,1.06322501466,2940,685
shuffled,28,140,1.05968213802,2940,685
shuffled,29,145,1.06248983174,2940,685
shuffled,30,150,1.05851639658,2940,685
shuffled,31,155,1.05825806877,2940,685
shuffled,32,160,1.05205105766,2940,685
shuffled,33,165,1.04532198265,2940,685
shuffled,34,170,1.06419036491,2940,685
shuffled,35,175,1.05182338673,2940,685
shuffled,36,180,1.0574988391,2940,685
shuffled,37,185,1.05398949901,2940,685
shuffled,38,190,1.05508456954,2940,685
shuffled,39,195,1.05947716385,2940,685
shuffled,40,200,1.05999265622,2940,685
shuffled,41,205,1.04312659976,2940,685
shuffled,42,210,1.04277121118,2940,685
shuffled,43,215,1.0525819306,2940,685
shuffled,44,220,1.06082953553,2940,685
shuffled,45,225,1.05095761228,2940,685
shuffled,46,230,1.04151398483,2940,685
shuffled,47,235,1.06030084141,2940,685
shuffled,48,240,1.06024638353,2940,685
shuffled,49,245,1.05665365368,2940,685
shuffled,50,250,1.0522300985,2940,685
shuffled,51,255,1.05020936376,2940,685
shuffled,52,260,1.04441571267,2940,685
shuffled,53,265,1.05295593757,2940,685
shuffled,54,270,1.05908180743,2940,685
shuffled,55,275,1.05862887421,2940,685
shuffled,56,280,1.06467949631,2940,685
shuffled,57,285,1.04745005974,2940,685
shuffled,58,290,1.04727758512,2940,685
shuffled,59,295,1.05674397229,2940,685
shuffled,60,300,1.05667572773,2940,685
